epoch trainingError testError 
1 0.2403000785898795 0.15125581456536125 
2 0.1951563551106968 0.14250811601069863 
3 0.16108490281933927 0.13591182042703792 
4 0.13564372528029797 0.13006380220987673 
5 0.11643668308140562 0.12483925024586975 
6 0.10185567955598043 0.1201473739856194 
7 0.09230045151676403 0.11592138823432918 
8 0.08669112919879393 0.11219693182310864 
9 0.08526958714992179 0.10888238574111933 
10 0.08109538469416526 0.10605120030588464 
11 0.07780542579881564 0.1034340203702154 
12 0.0751588565689567 0.10108725240523808 
13 0.0730172440651432 0.09898296357143141 
14 0.07127548151468396 0.09709624966924565 
15 0.06985267150631913 0.09540507081583226 
16 0.0686858956661759 0.0938897917590332 
17 0.06772576239921478 0.0925328277940872 
18 0.06693318083539387 0.09131836881562219 
19 0.06627699171105401 0.09023216022877349 
20 0.06573220484719167 0.08926132548803972 
21 0.06527867162053425 0.08839421937709527 
22 0.06490007343138765 0.08762030425270394 
23 0.06458314266601285 0.08693004369704553 
24 0.06431705684276044 0.08631480960575946 
25 0.06409296329448917 0.08576679986481595 
26 0.06390360334366027 0.08527896456832748 
27 0.06374301309826916 0.08484493929522859 
28 0.06360628381771419 0.08445898436250386 
29 0.0634893689923072 0.08411592925429931 
30 0.06338892833798739 0.08381112162409188 
31 0.06330220116271426 0.08354038040558394 
32 0.06322690324266322 0.08329995266457065 
33 0.06316114261422363 0.08308647389116733 
34 0.06310335065375033 0.08289693147834984 
35 0.06305222556022845 0.08272863116509561 
36 0.06300668593312289 0.0825791662450223 
37 0.06296583258962223 0.08244638935749656 
38 0.06292891712212141 0.0823283866899969 
39 0.06289531598017072 0.08222345442961676 
40 0.06286450908766532 0.0821300773090908 
41 0.06283606218813674 0.082046909099334 
42 0.0628096122580433 0.08197275490668028 
43 0.06278485544715658 0.08190655513909073 
44 0.06276153710211325 0.08184737101172404 
45 0.06273944350830796 0.08179437146851701 
46 0.06271839504999714 0.08174682140280737 
47 0.06269824054149153 0.08170407106653757 
48 0.06267885252581815 0.08166554656415655 
49 0.06266012337298729 0.08163074133392184 
50 0.06264196203940732 0.08159920852585742 
